rowID,SceneID,Season,Episode,SceneNumber,Scenetime,Character,Screentime,Laughtime,laughPercent,meanLaughPercent,sdLaughPercent,zLaughPercent,laughBin,laughBinFull
1,1_1_1,Season1,1,1,165,Jerry,60,45,75,31.5546349,23.1302764,1.87828993,3,3
2,1_1_2,Season1,1,2,815,Jerry,200,30,15,31.5546349,23.1302764,-0.7157128,1,1
3,1_1_2,Season1,1,2,815,George,200,60,30,31.3203712,21.9125952,-0.0602563,1,1
4,1_1_2,Season1,1,2,815,Other,95,30,31.5789474,20.7191006,25.7339278,0.42200502,2,2
5,1_1_3,Season1,1,3,550,Jerry,130,45,34.6153846,31.5546349,23.1302764,0.13232655,2,2
6,1_1_3,Season1,1,3,550,George,130,45,34.6153846,31.3203712,21.9125952,0.15037075,2,2
7,1_1_3,Season1,1,3,550,Other,70,0,0,20.7191006,25.7339278,-0.8051278,1,1
8,1_1_4,Season1,1,4,225,Jerry,80,65,81.25,31.5546349,23.1302764,2.14849854,3,3
9,1_1_5,Season1,1,5,755,Jerry,225,30,13.3333333,31.5546349,23.1302764,-0.7877684,1,1
10,1_1_5,Season1,1,5,755,Kramer,190,85,44.7368421,39.911779,26.3381431,0.18319678,2,2
11,1_1_6,Season1,1,6,595,Jerry,140,5,3.57142857,31.5546349,23.1302764,-1.2098086,1,1
12,1_1_6,Season1,1,6,595,George,140,45,32.1428571,31.3203712,21.9125952,0.03753485,1,1
13,1_1_6,Season1,1,6,595,Kramer,85,25,29.4117647,39.911779,26.3381431,-0.3986619,1,1
14,1_1_6,Season1,1,6,595,Situation,NA,10,NA,NA,NA,NA,NA,S
15,1_1_7,Season1,1,7,295,Jerry,100,95,95,31.5546349,23.1302764,2.7429575,3,3
16,1_1_8,Season1,1,8,325,Jerry,80,15,18.75,31.5546349,23.1302764,-0.5535876,1,1
17,1_1_8,Season1,1,8,325,George,80,20,25,31.3203712,21.9125952,-0.2884355,1,1
18,1_1_8,Season1,1,8,325,LoveInterest,45,0,0,16.4504236,21.8596278,-0.7525482,1,1
19,1_1_8,Season1,1,8,325,Situation,NA,5,NA,NA,NA,NA,NA,S
20,1_1_9,Season1,1,9,590,Jerry,170,40,23.5294118,31.5546349,23.1302764,-0.3469575,1,1
21,1_1_9,Season1,1,9,590,LoveInterest,170,10,5.88235294,16.4504236,21.8596278,-0.4834515,1,1
22,1_1_9,Season1,1,9,590,George,NA,5,NA,31.3203712,21.9125952,NA,NA,A
23,1_1_9,Season1,1,9,590,Situation,NA,25,NA,NA,NA,NA,NA,S
24,1_1_10,Season1,1,10,310,Jerry,115,80,69.5652174,31.5546349,23.1302764,1.64332591,3,3
25,1_2_1,Season1,2,1,215,Jerry,80,50,62.5,31.5546349,23.1302764,1.33787269,3,3
26,1_2_1,Season1,2,1,215,Other,5,0,0,20.7191006,25.7339278,-0.8051278,1,1
