rowID,SceneID,Season,Episode,SceneNumber,Location
1,1_1_1,Season1,1,1,Workplace
2,1_1_2,Season1,1,2,Diner
3,1_1_3,Season1,1,3,Other
4,1_1_4,Season1,1,4,Workplace
5,1_1_5,Season1,1,5,CharacterHome
6,1_1_6,Season1,1,6,CharacterHome
7,1_1_7,Season1,1,7,Workplace
8,1_1_8,Season1,1,8,Other
9,1_1_9,Season1,1,9,CharacterHome
10,1_1_10,Season1,1,10,Workplace
11,1_2_1,Season1,2,1,Workplace
12,1_2_2,Season1,2,2,Other
13,1_2_3,Season1,2,3,Leisure
14,1_2_4,Season1,2,4,Transport
15,1_2_5,Season1,2,5,Workplace
16,1_2_6,Season1,2,6,CharacterHome
17,1_2_7,Season1,2,7,Workplace
18,1_2_8,Season1,2,8,CharacterHome
19,1_2_9,Season1,2,9,CharacterHome
20,1_2_10,Season1,2,10,Workplace
21,1_3_1,Season1,3,1,Workplace
22,1_3_2,Season1,3,2,CharacterHome
23,1_3_3,Season1,3,3,CharacterHome
24,1_3_4,Season1,3,4,CharacterHome
25,1_3_5,Season1,3,5,CharacterHome
26,1_3_6,Season1,3,6,Workplace
27,1_3_7,Season1,3,7,Other
28,1_3_8,Season1,3,8,CharacterHome
29,1_3_9,Season1,3,9,Workplace
30,1_3_10,Season1,3,10,Diner
31,1_3_11,Season1,3,11,Other
32,1_4_1,Season1,4,1,Workplace
33,1_4_2,Season1,4,2,CharacterHome
34,1_4_3,Season1,4,3,Workplace
35,1_4_4,Season1,4,4,Diner
36,1_4_5,Season1,4,5,Other
37,1_4_6,Season1,4,6,Workplace
38,1_4_7,Season1,4,7,CharacterHome
39,1_4_8,Season1,4,8,CharacterHome
40,1_4_9,Season1,4,9,Workplace
41,1_5_1,Season1,5,1,Workplace
42,1_5_2,Season1,5,2,Diner
43,1_5_3,Season1,5,3,Other
44,1_5_4,Season1,5,4,CharacterHome
45,1_5_5,Season1,5,5,Other
46,1_5_6,Season1,5,6,Workplace
47,1_5_7,Season1,5,7,CharacterHome
48,1_5_8,Season1,5,8,Leisure
49,1_5_9,Season1,5,9,Diner
50,1_5_10,Season1,5,10,Workplace
51,2_1_1,Season2,1,1,Workplace
52,2_1_2,Season2,1,2,Transport
53,2_1_3,Season2,1,3,CharacterHome
54,2_1_4,Season2,1,4,Diner
55,2_1_5,Season2,1,5,Other
56,2_1_6,Season2,1,6,Workplace
57,2_1_7,Season2,1,7,Other
58,2_1_8,Season2,1,8,Transport
59,2_1_9,Season2,1,9,CharacterHome
60,2_1_10,Season2,1,10,Diner
61,2_1_11,Season2,1,11,Transport
62,2_1_12,Season2,1,12,Workplace
63,2_3_1,Season2,3,1,Workplace
64,2_3_2,Season2,3,2,Other
65,2_3_3,Season2,3,3,CharacterHome
66,2_3_4,Season2,3,4,CharacterHome
67,2_3_5,Season2,3,5,Leisure
68,2_3_6,Season2,3,6,Workplace
69,2_3_7,Season2,3,7,Leisure
70,2_3_8,Season2,3,8,Leisure
71,2_3_9,Season2,3,9,CharacterHome
72,2_3_10,Season2,3,10,Transport
73,2_3_11,Season2,3,11,Workplace
74,2_2_1,Season2,2,1,Workplace
75,2_2_2,Season2,2,2,CharacterHome
76,2_2_3,Season2,2,3,OtherFamilyHome
77,2_2_4,Season2,2,4,CharacterHome
78,2_2_5,Season2,2,5,CharacterHome
79,2_2_6,Season2,2,6,Workplace
80,2_2_7,Season2,2,7,Diner
81,2_2_8,Season2,2,8,Other
82,2_2_9,Season2,2,9,Other
83,2_2_10,Season2,2,10,Diner
84,2_2_11,Season2,2,11,Workplace
85,2_4_1,Season2,4,1,Workplace
86,2_4_2,Season2,4,2,Diner
87,2_4_3,Season2,4,3,Transport
88,2_4_4,Season2,4,4,Transport
89,2_4_5,Season2,4,5,Transport
90,2_4_6,Season2,4,6,Transport
91,2_4_7,Season2,4,7,Transport
92,2_4_8,Season2,4,8,CharacterHome
93,2_4_9,Season2,4,9,Workplace
94,2_4_10,Season2,4,10,CharacterHome
95,2_4_11,Season2,4,11,CharacterHome
96,2_4_12,Season2,4,12,Diner
97,2_4_13,Season2,4,13,Outside
98,2_4_14,Season2,4,14,Other
99,2_4_15,Season2,4,15,Workplace
100,2_5_1,Season2,5,1,Workplace
101,2_5_2,Season2,5,2,CharacterHome
102,2_5_2,Season2,5,2,Other
103,2_5_3,Season2,5,3,Workplace
104,2_5_4,Season2,5,4,Diner
105,2_5_4,Season2,5,4,Outside
106,2_5_5,Season2,5,5,Diner
107,2_5_6,Season2,5,6,CharacterHome
108,2_5_6,Season2,5,6,Other
109,2_5_7,Season2,5,7,CharacterHome
110,2_5_8,Season2,5,8,Other
111,2_5_9,Season2,5,9,CharacterHome
112,2_5_10,Season2,5,10,CharacterHome
113,2_5_11,Season2,5,11,Workplace
114,2_6_1,Season2,6,1,Workplace
115,2_6_2,Season2,6,2,CharacterHome
116,2_6_3,Season2,6,3,CharacterHome
117,2_6_4,Season2,6,4,Workplace
118,2_6_5,Season2,6,5,CharacterHome
119,2_6_6,Season2,6,6,Other
120,2_6_7,Season2,6,7,CharacterHome
121,2_6_8,Season2,6,8,Diner
122,2_6_9,Season2,6,9,Workplace
123,2_6_10,Season2,6,10,CharacterHome
124,2_6_11,Season2,6,11,Other
125,2_6_12,Season2,6,12,CharacterHome
126,2_6_13,Season2,6,13,Workplace
127,2_7_1,Season2,7,1,Workplace
128,2_7_2,Season2,7,2,Workplace
129,2_7_3,Season2,7,3,CharacterHome
130,2_7_4,Season2,7,4,Other
131,2_7_5,Season2,7,5,CharacterHome
132,2_7_6,Season2,7,6,Workplace
133,2_7_7,Season2,7,7,Workplace
134,2_7_8,Season2,7,8,Other
135,2_7_9,Season2,7,9,CharacterHome
136,2_7_10,Season2,7,10,Other
137,2_7_11,Season2,7,11,Leisure
138,2_7_12,Season2,7,12,Other
139,2_7_13,Season2,7,13,Leisure
140,2_7_14,Season2,7,14,Other
141,2_7_15,Season2,7,15,Leisure
142,2_7_16,Season2,7,16,CharacterHome
143,2_7_17,Season2,7,17,Workplace
144,2_8_1,Season2,8,1,Workplace
145,2_8_2,Season2,8,2,CharacterHome
146,2_8_3,Season2,8,3,CharacterHome
147,2_8_4,Season2,8,4,Diner
148,2_8_5,Season2,8,5,Transport
149,2_8_6,Season2,8,6,Other
150,2_8_7,Season2,8,7,Other
151,2_8_8,Season2,8,8,Transport
152,2_8_9,Season2,8,9,Other
153,2_8_10,Season2,8,10,Transport
154,2_8_11,Season2,8,11,Transport
155,2_8_12,Season2,8,12,Transport
156,2_8_13,Season2,8,13,Other
157,2_8_14,Season2,8,14,Workplace
158,2_9_1,Season2,9,1,Workplace
159,2_9_2,Season2,9,2,CharacterHome
160,2_9_3,Season2,9,3,CharacterHome
161,2_9_4,Season2,9,4,Diner
162,2_9_5,Season2,9,5,CharacterHome
163,2_9_6,Season2,9,6,Other
164,2_9_7,Season2,9,7,Workplace
165,2_9_8,Season2,9,8,CharacterHome
166,2_9_9,Season2,9,9,Diner
167,2_9_10,Season2,9,10,CharacterHome
168,2_9_11,Season2,9,11,Workplace
169,2_10_1,Season2,10,1,Workplace
170,2_10_2,Season2,10,2,Diner
171,2_10_3,Season2,10,3,CharacterHome
172,2_10_4,Season2,10,4,CharacterHome
173,2_10_5,Season2,10,5,Other
174,2_10_6,Season2,10,6,Workplace
175,2_10_7,Season2,10,7,Transport
176,2_10_8,Season2,10,8,CharacterHome
177,2_10_9,Season2,10,9,Transport
178,2_10_10,Season2,10,10,CharacterHome
179,2_10_11,Season2,10,11,CharacterHome
180,2_10_12,Season2,10,12,Workplace
181,2_11_1,Season2,11,1,Workplace
182,2_11_2,Season2,11,2,Leisure
183,2_11_3,Season2,11,3,Workplace
184,2_12_1,Season2,12,1,Workplace
185,2_12_2,Season2,12,2,Leisure
186,2_12_3,Season2,12,3,CharacterHome
187,2_12_4,Season2,12,4,Other
188,2_12_5,Season2,12,5,Other
189,2_12_6,Season2,12,6,CharacterHome
190,2_12_7,Season2,12,7,Workplace
191,2_12_8,Season2,12,8,CharacterHome
192,2_12_9,Season2,12,9,CharacterHome
193,2_12_10,Season2,12,10,Diner
194,2_12_11,Season2,12,11,Workplace
195,3_1_1,Season3,1,1,Workplace
196,3_1_2,Season3,1,2,Leisure
197,3_1_3,Season3,1,3,CharacterHome
198,3_1_4,Season3,1,4,Leisure
199,3_1_5,Season3,1,5,Leisure
200,3_1_6,Season3,1,6,Leisure
201,3_1_7,Season3,1,7,CharacterHome
202,3_1_8,Season3,1,8,Other
203,3_1_9,Season3,1,9,CharacterHome
204,3_1_10,Season3,1,10,CharacterHome
205,3_1_11,Season3,1,11,Other
206,3_1_12,Season3,1,12,Other
207,3_1_13,Season3,1,13,Other
208,3_1_14,Season3,1,14,Diner
209,3_1_15,Season3,1,15,Workplace
210,3_2_1,Season3,2,1,Workplace
211,3_2_2,Season3,2,2,Diner
212,3_2_3,Season3,2,3,CharacterHome
213,3_2_4,Season3,2,4,Diner
214,3_2_5,Season3,2,5,CharacterHome
215,3_2_6,Season3,2,6,CharacterHome
216,3_2_7,Season3,2,7,Workplace
217,3_2_8,Season3,2,8,CharacterHome
